vel,angs,logCountM,distDif,clickD,clickTotalM,backSpaceM,leftSideM,rigthSideM,stressLevelM
3458.2578963133124,24.91758908094133,562,2669.6984441909626,58273.0,3,0,0,0,3
642.5169591631741,40.24185205954446,141,200.0051492176933,17352.0,2,0,0,0,3
1316.8791009894005,25.050594998046677,328,720.2279239691213,28752.0,4,0,0,0,3
1120.138700621318,30.72613495654217,311,533.1541244851402,10823.0,4,0,0,0,2
536.7487334703239,26.637486372276264,186,158.07994824662802,11247.0,2,0,0,0,2
554.3488345481953,29.112137233489666,217,306.7097565031356,27143.0,4,0,0,0,2
2297.093865484569,32.62660774848011,308,1881.7643153578103,42309.0,3,0,0,0,2
1618.4919970998603,26.674363098884783,305,1284.07434555524,42755.0,4,0,0,0,3
10569.06027327257,24.95668007795074,1177,9674.410093176692,34445.0,2,0,0,0,3
3038.1885537404755,26.079173541043684,394,2302.370343680683,14107.0,3,0,0,0,3
6475.19745759214,29.54088855417416,1094,6967.519645931508,52441.0,3,0,0,0,3
1618.4919970998603,26.674363098884783,305,1284.07434555524,42755.0,4,0,0,0,3
10569.06027327257,24.95668007795074,1177,9674.410093176692,34445.0,2,0,0,0,3
3038.1885537404755,26.079173541043684,394,2302.370343680683,14107.0,3,0,0,0,3
6475.19745759214,29.54088855417416,1094,6967.519645931508,52441.0,3,0,0,0,3
416.08162037583,35.44370676370328,162,211.89079960623437,20593.0,4,0,0,0,2
4397.288781765672,31.1404500265235,474,3762.475822742824,99824.0,5,0,0,0,2
3193.687554844075,31.46251429874991,543,1240.0648080510452,42267.0,10,0,0,0,2
277.0785203131569,31.406886108034296,120,87.82961831838486,21230.0,3,0,0,0,2
1113.0106895566112,26.058506551209117,215,425.8800019846471,15278.0,4,0,0,0,2
747.2729822452222,26.79895640996862,159,395.8059075727288,38266.0,3,0,0,0,2
1438.2811546484684,27.808668676314912,441,1072.634064631092,39403.0,2,0,0,0,2
479.8153586114324,29.302822102482725,254,79.23355144942207,14677.0,3,0,0,0,2
3508.0023162249545,26.1529078992218,692,1979.526502853328,58679.0,5,0,0,0,2
1629.5425328732158,27.35488877138891,305,1541.8233836218687,23453.0,4,0,0,0,2
2497.916188206481,27.62582770044058,400,2228.6355323932416,28863.0,3,0,0,0,2
1550.5608949500088,27.31660020937267,321,1186.6272158403524,16983.0,2,0,0,0,2
1771.978954732797,39.02238256379721,213,1278.5879788150828,19798.0,4,0,0,0,1
2586.790673598884,37.1884114698818,338,2077.4055936924788,13456.0,3,0,0,0,1
1283.6001092605002,40.15440410549397,315,908.7040042071932,14840.0,3,0,0,0,1
3023.525690823662,36.564293328078,394,2653.708211929162,11856.0,2,0,0,0,1
1476.772497035244,24.69466708341641,173,472.5258434309515,26135.0,4,0,0,0,3
664.9144934762235,29.846514584695942,226,376.0720479048525,31406.0,3,0,0,0,3
1886.926765524934,38.98691062750846,322,1219.4063179172292,35669.0,4,0,0,0,2
2796.456353039549,28.807619635508185,301,2093.441156574764,46587.0,5,0,0,0,1
3235.5813928214093,30.21692351934334,282,893.266278896609,24806.0,5,0,0,0,2
919.1317124535052,29.02063265351871,170,295.465602614628,41834.0,3,0,0,0,2
1028.778030424818,30.944578617394495,166,514.6835181263193,13667.0,3,0,0,0,2
945.4023158042784,24.832468707732712,162,177.4795234370353,25886.0,2,0,0,0,3
1796.9007664302403,26.671945864154583,241,665.2688152115065,8463.0,3,0,0,0,2
2720.354321304732,22.873498223723843,434,2259.808689977044,24065.0,3,0,0,0,2
1070.101877384132,31.83739245932454,166,1010.2935933898564,11574.0,4,0,0,0,2
1923.841037722552,35.83446565706218,284,1537.7680907657827,37161.0,2,0,0,0,2
4733.3385326505695,27.63732769062335,842,2741.3019503277665,21038.0,3,0,0,0,3
3489.3873361287,25.475918191864107,591,3596.30589847404,19791.0,4,0,0,0,3
6660.534896585134,28.67401009010866,684,6235.51643675834,26704.0,2,0,0,0,3
3190.242210796373,24.653346635760364,494,2889.8978437356263,34112.0,4,0,0,0,3
929.0861918276928,28.7214311329454,214,326.41201445464634,39503.0,4,0,0,0,2
529.8048028373239,29.523263794193763,110,139.00986394921256,34469.0,3,0,0,0,2
464.7654970217228,29.49689809381996,158,259.2826376972371,21230.0,3,0,0,0,2
590.3083176855347,25.65007869988779,130,160.4433243467711,33336.0,2,0,0,0,2
3716.024345303904,32.38770401340756,492,1735.6588682702811,22791.0,3,0,0,0,2
2746.900770600677,33.4745703758382,471,2787.244414964326,31616.0,3,0,0,0,2
1761.2340830020053,29.107181453168376,320,1429.7034031046494,20832.0,3,0,0,0,2
6326.413296846852,30.946517645645187,765,5926.53797969858,31559.0,3,0,0,0,2
4026.004430969104,25.940333916271427,383,2989.7129931949985,43856.0,5,0,1,0,3
698.0325230435727,25.326621408978166,148,172.70851098814126,23427.0,3,0,0,0,3
855.8844445558716,25.350485316368967,199,348.4739063864772,17937.0,3,0,0,0,3
1002.597120025492,24.82451923908165,237,403.8506520118922,13155.0,3,0,0,0,3
2972.42683710225,25.618929137525715,466,1129.5047038035982,26937.0,5,0,0,0,2
1034.699761358106,26.239295256200823,199,741.8145600141243,30057.0,3,0,0,0,2
458.72461903156807,26.081229566230697,165,37.01977484169197,13076.0,3,0,0,0,2
376.51700779364273,24.94532552669547,137,24.888845182499324,11811.0,3,0,0,0,2
1692.4788738218922,36.727938231285805,318,704.9951146847624,60147.0,4,0,0,0,3
1019.1965655583992,34.53474351542102,142,384.6512008183184,58098.0,3,0,0,0,3
3311.9263091325133,34.62571606628624,411,2344.5155863627524,94401.0,3,0,0,0,3
1436.6139665898638,35.66810457648718,283,1506.636292129062,58455.0,3,0,0,0,3
968.542149998484,26.445919620186057,163,171.34884357903627,20952.0,4,0,0,0,2
920.502893368315,24.76047629090241,202,765.9901334691104,20380.0,3,0,0,0,3
1813.5892524999956,35.05320355257381,201,1250.5724724769848,44856.0,4,0,1,0,1
3188.590715562851,31.25405344796841,314,2812.971885887778,41242.0,5,0,1,0,1
3802.513146145725,30.75114920038461,511,2576.371091283861,22522.0,4,0,0,0,3
1300.294406791657,36.88200679713381,202,867.5158893627828,17781.0,2,0,0,0,3
1021.2710893209068,48.18157842994443,113,480.24539928176114,25330.0,3,0,0,0,3
2530.910474104984,32.70082293434129,265,2309.307709976698,33954.0,4,0,0,0,2
7839.717607125559,31.722787982993285,628,6250.346717155684,85152.0,5,0,0,0,3
2006.9626272202963,28.019035703805347,316,1344.0588210029578,27866.0,4,0,0,0,3
4744.950209167099,30.888111916313687,715,4509.995117456259,47531.0,3,0,0,0,3
3621.661624658225,30.618854365709147,727,3400.387271628688,60316.0,2,0,0,0,3
4926.11383115298,25.71568423358425,488,2334.8544598064977,43903.0,3,0,0,0,3
